Index,Monster Name,Monster Gender,Monster Type,Monster Subtype,Monster Species,Monster Real,Monster Amount,Caught Fred,Caught Daphnie,Caught Velma,Caught Shaggy,Caught Scooby,Captured Fred,Captured Daphnie,Captured Velma,Captured Shaggy,Captured Scooby,Unmask Fred,Unmask Daphnie,Unmask Velma,Unmask Shaggy,Unmask Scooby,Snack Fred,Snack Daphnie,Snack Velma,Snack Shaggy,Snack Scooby,Unmask Other,Caught Other,Caught Not,Trap Work First,Setting Terrain,Setting Country State,Suspects Amount,Non Suspect,Arrested,Culprit Name,Culprit Gender,Culprit Amount,Motive,If It Wasnt For,And That,Door Gag,Number Of Snacks,Split Up,Another Mystery,Set A Trap,Jeepers,Jinkies,My Glasses,Just About Wrapped Up,Zoinks,Groovy,Scooby Doo Where Are You,Rooby Rooby Roo,Batman,Scooby Dum,Scrappy Doo,Hex Girls,Blue Falcon,Fred Va,Daphnie Va,Velma Va,Shaggy Va,Scooby Va
129,Old Iron Face,Male,Disguised,Pirate,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Island,United States,3,FALSE,TRUE,Mama Mione,Female,1,Smuggling,NULL,NULL,FALSE,6,0,0,0,6,2,0,0,9,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
130,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,TRUE,FALSE,FALSE,FALSE,FALSE,NULL,Forest,Canada,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
131,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NULL,Urban,Poland,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
132,Jaguaro,Male,Animal,Beast,Jungle-Monster,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Jungle,Brazil,4,FALSE,TRUE,"Barney,Luis","Male,Male",2,Natural Resource,NULL,NULL,FALSE,0,0,0,0,7,2,0,0,8,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
133,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NULL,Jungle,Siam,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
134,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Moon,Moon,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NULL,NULL,NULL,Casey Kasem,Don Messick
135,Cat Creature,Male,Animal,Humanoid,Cat,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,New York,3,FALSE,TRUE,Mr. Bixby,Male,1,Theft,NULL,NULL,FALSE,0,0,1,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
136,Mantis,Male,Animal,Humanoid,Mantis,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Rural,United States,4,FALSE,TRUE,Proff. Greer,Male,1,Natural Resource,NULL,NULL,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
137,Phantom,Male,Ghost,Musician,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,6,FALSE,TRUE,Ace Decade,Male,1,Smuggling,NULL,NULL,FALSE,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
138,Moon Monster,Male,Ghost,Demon,Beast,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,China,3,FALSE,TRUE,Chin Wong Sing,Male,1,Theft,NULL,NULL,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
139,Ghostly Gondolier,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,Italy,4,FALSE,TRUE,Mario,Male,1,Treasure,NULL,NULL,FALSE,0,0,0,0,0,2,0,0,4,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
140,Ghost of Juan Carlos,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Island,Puerto Rico,5,FALSE,TRUE,Cptn. Eddy,Male,1,Treasure,you meddling young fools,NULL,FALSE,0,0,0,0,0,1,0,0,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
141,"Anthos,Devil Hound","Male,Male","Ancient,Animal","Warlock,Demon","Human,Hound",FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Forest,England,4,FALSE,TRUE,"Nick Thomas,John Thomas","Male,Male",2,Competition,you meddling kids,NULL,FALSE,0,0,0,0,0,4,0,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
142,Beast of Bottomless Lake,Male,Animal,Humanoid,Sea-Monster,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Forest,Canada,4,FALSE,TRUE,Julie Johnson,Female,1,Smuggling,NULL,NULL,FALSE,0,0,0,0,0,3,0,0,4,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
143,Blue Scarab,Male,Disguised,Super-Villain,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Urban,United States,4,FALSE,TRUE,Howard Gruger,Male,1,Competition,NULL,NULL,FALSE,0,0,0,0,0,1,0,0,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
144,Night Ghoul,Male,Undead,Ghoul,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Urban,United States,4,FALSE,TRUE,Mr. Marino,Male,1,Theft,NULL,NULL,FALSE,0,1,0,0,0,3,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
145,Alien,Male,Extraterrestrial,Alien,Alien,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Forest,United States,3,FALSE,TRUE,Tessie,Female,1,Smuggling,NULL,NULL,FALSE,0,0,0,0,0,2,0,0,10,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
146,Neon Phantom,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Urban,California,3,FALSE,TRUE,Bill Walker,Male,1,Competition,NULL,NULL,FALSE,0,0,0,0,0,3,0,0,4,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
147,"Snake Demon,Clown","Male,Male","Animal,Disguised","Demon,Clown","Snake,Human",FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Coast,Florida,4,FALSE,TRUE,First Mate Defarge,Male,1,Smuggling,NULL,NULL,FALSE,0,0,0,0,0,1,0,0,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
148,Sky Skeleton,Male,Undead,Skeleton,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Rural,United States,4,FALSE,TRUE,Eddie Drake,Male,1,Natural Resource,NULL,NULL,FALSE,0,0,0,0,1,4,0,0,8,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
149,Dragon Beast,Male,Mythical,Humanoid,Dragon,FALSE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Urban,Japan,3,FALSE,TRUE,Mr. Husai,Male,1,Theft,NULL,NULL,FALSE,0,1,0,0,1,0,0,0,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
150,Devil Bear,Male,Animal,Demon,Bear,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Desert,Arizona,4,FALSE,TRUE,Chuck Hunt,Male,1,Treasure,NULL,NULL,FALSE,0,0,0,0,1,1,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
151,Sea Beast of the Aztecs,Male,Animal,Humanoid,Sea-Monster,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Coast,Mexico,2,FALSE,TRUE,Tiger Morris,Male,1,Treasure,you,NULL,FALSE,0,0,0,0,0,3,0,0,6,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
152,Lady Vampire of the Bat,Female,Undead,Vampire,Human,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,California,3,FALSE,TRUE,Lefty Callahan,Female,1,Theft,NULL,NULL,FALSE,0,0,0,0,0,3,0,0,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
153,Star Creature,Male,Extraterrestrial,Humanoid,Star,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,Rural,United States,4,FALSE,TRUE,Mr. Greenfield,Male,1,Theft,NULL,NULL,FALSE,0,0,0,0,2,1,0,0,5,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
154,Shadow Creature,Male,Animal,Humanoid,Creature,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NULL,Urban,United States,4,FALSE,TRUE,Brandon Davies,Male,1,Theft,NULL,NULL,FALSE,0,0,0,0,2,2,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
155,NULL,NULL,NULL,NULL,NULL,NULL,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,California,3,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,0,0,0,0,3,0,0,2,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
156,Ghost of Jeremiah Pratt,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Snow,United States,3,FALSE,TRUE,Will Henry Pratt,Male,1,Treasure,NULL,NULL,FALSE,0,0,0,0,0,5,0,0,8,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
157,Ghost of the Great Haldane,Male,Ghost,Magician,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,New Jersey,4,FALSE,TRUE,Morgan the Magician,Male,1,Theft,NULL,NULL,FALSE,0,1,0,0,3,2,0,0,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
158,Minotaur,Male,Mythical,Minotaur,Minotaur,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Rural,Greece,3,FALSE,TRUE,Nick Papas,Male,1,Treasure,NULL,NULL,FALSE,0,0,0,0,0,5,0,0,4,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
159,NULL,NULL,NULL,NULL,NULL,NULL,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,New York,2,FALSE,TRUE,"Carl,Tony","Male,Male",2,Extortion,NULL,NULL,FALSE,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
160,"Aliens,Aliens","Male,Male","Extraterrestrial,Extraterrestrial","Alien,Alien","Alien,Alien",TRUE,2,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Space,Space,0,NULL,FALSE,NULL,NULL,0,Experimentation,NULL,NULL,TRUE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
161,Sylvester,Male,Undead,Vampire,Human,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Rural,United States,0,NULL,FALSE,NULL,NULL,0,Food,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
162,Sylvester,Male,Undead,Vampire,Human,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Rural,United States,0,NULL,FALSE,NULL,NULL,0,Food,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
163,Chinese Food Factory Burglar,Male,Disguised,Masked,Human,FALSE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,TRUE,FALSE,NULL,Urban,California,0,TRUE,TRUE,Chinese Food Factory Burglar,Male,1,Theft,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
164,Arabian Magician,Male,Magician,Magician,Human,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Desert,Saudi Arabia,0,NULL,FALSE,NULL,NULL,0,Experimentation,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
165,Cat Man,Male,Animal,Humanoid,Cat,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Mountain,South America,0,NULL,FALSE,NULL,NULL,0,Food,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
166,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Ocean,United States,1,FALSE,FALSE,Sailor,Male,1,Trespassing,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
167,Mummy,Male,Undead,Mummy,Human,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Desert,Egypt,0,NULL,FALSE,NULL,NULL,0,Trespassing,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
168,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Coast,United States,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
169,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
170,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Rural,United States,1,FALSE,FALSE,Boss,Male,1,Competition,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
171,Caveman,Male,Ancient,Caveman,Human,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Island,United States,0,NULL,NULL,NULL,NULL,0,Assistance,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
172,Pirate,Male,Ancient,Pirate,Human,TRUE,1,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Ocean,United States,0,NULL,NULL,NULL,NULL,0,Abduction,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
173,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Rural,Mexico,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
174,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Desert,United States,1,FALSE,FALSE,Inkeeper,Male,1,Haunt,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
175,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Jungle,Africa,1,FALSE,FALSE,Nazrat of the Jungle,Male,1,Trespassing,NULL,NULL,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NULL,NULL,NULL,Casey Kasem,Don Messick
