Index,Series Name,Network,Season,Title,IMDB,Engagement,Date Aired,Run Time,Format
518,"Be Cool, Scooby-Doo!",Cartoon Network,1,"Be Cold, Scooby-Doo!",7.5,63,3/5/2016,22 mins,TV Series
519,Lego,Warner Home Video,Movie,LEGO Scooby-Doo! Haunted Hollywood,5.9,1144,3/10/2016,74 mins,Movie
520,"Be Cool, Scooby-Doo!",Cartoon Network,1,Giant Problems,7.4,58,3/12/2016,22 mins,TV Series
521,"Be Cool, Scooby-Doo!",Boomerang,1,Eating Crow,7.4,54,3/23/2016,22 mins,TV Series
522,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and WWE: Curse of the Speed Demon,6.2,1179,8/9/2016,81 mins,Movie
523,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Shaggy's Showdown,6.8,1120,2/14/2017,80 mins,Movie
524,"Be Cool, Scooby-Doo!",Boomerang,1,I Scooby Dooby Do,7.2,58,6/20/2017,22 mins,TV Series
525,"Be Cool, Scooby-Doo!",Boomerang,1,El Bandito,7.6,52,6/20/2017,22 mins,TV Series
526,"Be Cool, Scooby-Doo!",Boomerang,1,Into the Mouth Madcap,7.2,50,6/20/2017,22 mins,TV Series
527,"Be Cool, Scooby-Doo!",Boomerang,1,The Norse Case Scenario,7.3,48,6/20/2017,22 mins,TV Series
528,"Be Cool, Scooby-Doo!",Boomerang,1,The People vs. Fred Jones,7.7,50,6/20/2017,22 mins,TV Series
529,Lego,Warner Home Video,Movie,LEGO Scooby-Doo! Blowout Beach Bash,5.6,565,7/25/2017,77 mins,Movie
