Index,Series Name,Network,Season,Title,IMDB,Engagement,Date Aired,Run Time,Format
345,Night of the Living Doo,Cartoon Network,Special,Night of the Living Doo,7.2,256,10/31/2001,16 mins,TV Series
346,Warner Bros. Picture,Warner Bros. Picture,Movie,Scooby-Doo,5.1,100951,6/14/2002,87 mins,Movie (Theatrical)
347,"Harvey Birdman, Attorney at Law",Adult Swim,Crossover,Shaggy Busted,8.1,133,7/7/2002,12 mins,Crossover
348,What's New Scooby-Doo?,The WB,1,There's No Creature Like Snow Creature,7.5,176,9/14/2002,21 mins,TV Series
349,What's New Scooby-Doo?,The WB,1,3-D Struction,7.4,150,9/21/2002,21 mins,TV Series
350,What's New Scooby-Doo?,The WB,1,Space Ape and the Cape,7.6,151,9/28/2002,21 mins,TV Series
351,What's New Scooby-Doo?,The WB,1,Big Scare in the Big Easy,7.7,142,10/5/2002,21 mins,TV Series
352,What's New Scooby-Doo?,The WB,1,"It's Mean, It's Green, It's the Mystery Machine",7.6,144,10/26/2002,21 mins,TV Series
353,What's New Scooby-Doo?,The WB,1,Riva Ras Regas,7.5,125,11/2/2002,21 mins,TV Series
354,What's New Scooby-Doo?,The WB,1,Roller Ghoster Ride,7.7,133,11/9/2002,21 mins,TV Series
355,What's New Scooby-Doo?,The WB,1,"Safari, So Goodie!",7.1,130,11/23/2002,21 mins,TV Series
356,What's New Scooby-Doo?,The WB,1,She Sees Sea Monsters by the Sea Shore,7.1,122,11/30/2002,21 mins,TV Series
357,What's New Scooby-Doo?,The WB,1,A Scooby-Doo! Christmas,7.5,137,12/13/2002,21 mins,TV Series
358,What's New Scooby-Doo?,The WB,1,Toy Scary Boo,7.7,122,2/1/2003,21 mins,TV Series
359,What's New Scooby-Doo?,The WB,1,Lights! Camera! Mayhem!,7.5,115,2/15/2003,21 mins,TV Series
360,What's New Scooby-Doo?,The WB,1,Pompii and Circumstance,7.1,110,2/22/2003,21 mins,TV Series
361,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and the Legend of the Vampire,6.6,NULL,3/4/2003,72 mins,Movie
362,What's New Scooby-Doo?,The WB,1,The Unnatural,7.3,110,3/22/2003,21 mins,TV Series
363,What's New Scooby-Doo?,The WB,2,Big Appetite in Little Tokyo,7.2,112,9/13/2003,21 mins,TV Series
364,What's New Scooby-Doo?,The WB,2,Mummy Scares Best,7.6,102,9/20/2003,21 mins,TV Series
365,What's New Scooby-Doo?,The WB,2,The Fast and the Wormious,7.4,104,9/27/2003,21 mins,TV Series
366,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and the Monster of Mexico,6.5,3462,9/30/2003,72 mins,Movie
367,What's New Scooby-Doo?,The WB,2,High-Tech House of Horrors,7.5,101,10/4/2003,21 mins,TV Series
368,What's New Scooby-Doo?,The WB,2,The Vampire Strikes Back,7.4,105,10/18/2003,21 mins,TV Series
369,What's New Scooby-Doo?,The WB,2,A Scooby-Doo Halloween,7.6,129,10/25/2003,21 mins,TV Series
370,What's New Scooby-Doo?,The WB,2,Homeward Hound,7.2,97,10/25/2003,21 mins,TV Series
371,What's New Scooby-Doo?,The WB,2,The San Franpsycho,7.3,103,3/20/2004,21 mins,TV Series
372,What's New Scooby-Doo?,The WB,2,Simple Plan and the Invisible Madman,7.5,113,3/22/2004,21 mins,TV Series
373,What's New Scooby-Doo?,The WB,2,Recipe for Disaster,7.5,109,3/23/2004,21 mins,TV Series
374,What's New Scooby-Doo?,The WB,2,Large Dragon at Large,7.5,94,3/24/2004,21 mins,TV Series
375,What's New Scooby-Doo?,The WB,2,Uncle Scooby and Antarctica,7.4,99,3/25/2004,21 mins,TV Series
376,What's New Scooby-Doo?,The WB,2,"New Mexico, Old Monster",7.2,96,3/26/2004,21 mins,TV Series
377,Warner Bros. Picture,Warner Bros. Picture,Movie,Scooby-Doo 2: Monsters Unleashed,5.1,50847,3/26/2004,NULL,Movie (Theatrical)
378,What's New Scooby-Doo?,The WB,2,It's All Greek to Scooby,7.4,91,3/27/2004,21 mins,TV Series
379,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and the Loch Ness Monster,6.7,4108,6/24/2004,74 mins,Movie
380,What's New Scooby-Doo?,The WB,3,Fright House of a Lighthouse,8,128,1/29/2005,21 mins,TV Series
381,What's New Scooby-Doo?,The WB,3,"Go West, Young Scoob",7.2,102,2/5/2005,21 mins,TV Series
382,Warner Home Video,Warner Home Video,Movie,"Aloha, Scooby-Doo!",6.4,3696,2/8/2005,73 mins,Movie
383,What's New Scooby-Doo?,The WB,3,A Scooby-Doo Valentine,7.5,97,2/11/2005,21 mins,TV Series
384,What's New Scooby-Doo?,The WB,3,Wrestle Maniacs,7.4,90,2/12/2005,21 mins,TV Series
385,What's New Scooby-Doo?,The WB,3,Ready to Scare,7.5,89,2/19/2005,21 mins,TV Series
386,What's New Scooby-Doo?,The WB,3,Farmed & Dangerous,7.3,101,2/25/2005,21 mins,TV Series
387,What's New Scooby-Doo?,The WB,3,Diamonds Are a Ghoul's Best Friend,7,96,3/3/2005,21 mins,TV Series
388,What's New Scooby-Doo?,The WB,3,A Terrifying Round with a Menacing Metallic Clown,7.6,105,3/12/2005,21 mins,TV Series
389,What's New Scooby-Doo?,The WB,3,Camp Comeoniwannascareya,7.5,100,3/19/2005,21 mins,TV Series
390,What's New Scooby-Doo?,The WB,3,Block-Long Hong Kong Terror,7.4,88,3/26/2005,21 mins,TV Series
391,What's New Scooby-Doo?,The WB,3,"Gentlemen, Start Your Monsters!",7.3,87,4/2/2005,21 mins,TV Series
392,What's New Scooby-Doo?,The WB,3,Gold Paw,7.4,84,4/9/2005,21 mins,TV Series
393,What's New Scooby-Doo?,The WB,3,Reef Grief!,7.5,92,4/19/2005,21 mins,TV Series
394,Warner Home Video,Cartoon Network,Movie,Scooby-Doo! in Where's my Mummy?,6.7,2974,11/24/2005,74 mins,Movie
395,What's New Scooby-Doo?,Cartoon Network,3,E-Scream,7.4,91,7/21/2006,21 mins,TV Series
396,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Pirates Ahoy!,6.7,2454,9/19/2006,69 mins,Movie
397,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Shags to Riches,6.1,29,9/23/2006,23 mins,TV Series
398,Shaggy & Scooby-Doo Get a Clue!,The CW,1,More Fondue for Scooby-Doo,5,21,9/30/2006,22 mins,TV Series
399,Shaggy & Scooby-Doo Get a Clue!,The CW,1,High Society Scooby,6,22,10/7/2006,23 mins,TV Series
400,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Party Arty,5.9,19,11/4/2006,23 mins,TV Series
401,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Smart House,5.9,17,11/11/2006,23 mins,TV Series
402,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Lightning Strikes Twice,5.5,17,11/18/2006,22 mins,TV Series
403,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Don't Feed the Animals,5.8,18,2/2/2007,23 mins,TV Series
404,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Mysterty of the Missing Mystery Solvers,6.9,17,2/10/2007,23 mins,TV Series
405,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Chefs of Steel,5.1,16,2/17/2007,22 mins,TV Series
406,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Almost Ghosts,6.1,20,2/24/2007,23 mins,TV Series
407,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Pole to Pole,6.1,14,3/3/2007,NULL,TV Series
408,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Big Trouble,5.9,17,4/28/2007,23 mins,TV Series
409,Shaggy & Scooby-Doo Get a Clue!,The CW,1,Operation Dog and Hippy Boy,5.1,14,5/5/2007,22 mins,TV Series
410,Warner Home Video,Cartoon Network,Movie,"Chill Out, Scooby-Doo!",6.7,2511,8/31/2007,73 mins,Movie
411,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Shaggy and Scooby World,5.3,15,9/22/2007,23 mins,TV Series
412,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Almost Purr-fect,5.2,16,9/29/2007,23 mins,TV Series
413,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Inside Job,5.9,18,10/6/2007,22 mins,TV Series
414,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Zoinksman,5.5,14,10/13/2007,23 mins,TV Series
415,Shaggy & Scooby-Doo Get a Clue!,The CW,2,The Many Faces of Evil,5.4,13,11/3/2007,23 mins,TV Series
416,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Crusin' for a Brusin',5.6,11,11/10/2007,22 mins,TV Series
417,Shaggy & Scooby-Doo Get a Clue!,The CW,2,There's a Doctor in the House,5.5,11,12/1/2007,23 mins,TV Series
418,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Super Scary Movie Night,5.4,11,1/26/2008,22 mins,TV Series
419,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Runaway Robi,4.8,9,2/2/2008,23 mins,TV Series
420,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Don't Get a Big Head,4.6,9,2/16/2008,23 mins,TV Series
421,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Scooby Dudes,6.2,13,2/23/2008,23 mins,TV Series
422,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Zoinks the Wonder Dog,5.1,9,3/8/2008,23 mins,TV Series
423,Shaggy & Scooby-Doo Get a Clue!,The CW,2,Uncle Albert Alert,5.8,9,3/15/2008,23 mins,TV Series
424,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and the Goblin King,6.4,NULL,10/8/2008,74 mins,Movie
425,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! and the Samurai Sword,6.5,2182,4/7/2009,75 mins,Movie
426,Warner Home Video,Cartoon Network,Movie,Scooby-Doo! The Mystery Begins,5.3,5805,9/13/2009,NULL,Movie
427,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Abracadabra-Doo,7.1,2009,2/16/2010,76 mins,Movie
428,Scooby-Doo Mystery Incorporated,Cartoon  Network,1,Beware the Beast From Below,7.9,337,4/5/2010,23 mins,TV Series
429,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Creeping Creatures,7.8,304,7/19/2010,23 mins,TV Series
430,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Secret of the Ghost Rig,7.7,267,7/26/2010,23 mins,TV Series
431,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Revenge of the Man Crab,7.7,255,8/2/2010,22 mins,TV Series
432,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Song of Mystery,8,254,8/9/2010,22 mins,TV Series
433,Scooby-Doo Mystery Incorporated,Cartoon Network,1,The Legend of Alice May,8.5,263,8/16/2010,23 mins,TV Series
434,Scooby-Doo Mystery Incorporated,Cartoon Network,1,In Fear of the Phantom,8.2,256,8/23/2010,23 mins,TV Series
435,Scooby-Doo Mystery Incorporated,CartoonNetwork,1,The Grasp of the Gnome,7.8,229,8/30/2010,23 mins,TV Series
436,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Battle of the Humungonauts,7.6,221,9/7/2010,23 mins,TV Series
437,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Camp Scare,7.3,2566,9/14/2010,72 mins,Movie
438,Scooby-Doo Mystery Incorporated,Cartoon Network,1,Howl of the Fright Hound,8.2,235,10/4/2010,23 mins,TV Series
